epoch,loss,lr
0,2.784582106956477,1e-05
1,2.4769670789323563,1e-05
2,2.3996182592747273,1e-05
3,2.3596975042584285,1e-05
4,2.334166742285066,1e-05
5,2.2947510529783,1e-05
6,2.276346978919973,1e-05
7,2.240882779578675,1e-05
8,2.2200941552872133,1e-05
9,2.1996905721107747,1e-05
10,2.1712756643539,1e-05
11,2.152344035076149,1e-05
12,2.1236084637099975,1e-05
13,2.10675103045504,1e-05
14,2.088560056189362,1e-05
15,2.058544966223742,1e-05
16,2.0457676148847517,1e-05
17,2.0275677739972626,1e-05
18,2.016406938704213,1e-05
19,1.9946439517931243,1e-05
20,1.9841505719578019,1e-05
21,1.974057707918035,1e-05
22,1.9560681522173133,1e-05
23,1.9426292384640835,1e-05
24,1.9295294016258944,1e-05
25,1.9165025561466742,1e-05
26,1.8993701116302788,1e-05
27,1.897608049379232,1e-05
28,1.886585757567246,1e-05
29,1.8784243587527247,1e-05
30,1.8708699148777113,1e-05
31,1.8595409264240637,1e-05
32,1.8352530506848488,1e-05
33,1.8345663867384776,1e-05
34,1.8301474458832987,1e-05
35,1.8274811215262807,1e-05
36,1.8129874301101028,1e-05
37,1.801428809130681,1e-05
38,1.8007733280737286,1e-05
39,1.7881984762000653,1e-05
40,1.7828475577605196,1e-05
41,1.7765340419447333,1e-05
42,1.7696553076684436,1e-05
43,1.7618714102820092,1e-05
44,1.7508189337479643,1e-05
45,1.7414734681019786,1e-05
46,1.737053275669511,1e-05
47,1.7315854194104952,1e-05
48,1.7350475064202613,1e-05
49,1.7288243223054343,1e-05
50,1.7234610069816194,1e-05
51,1.714504129708655,1e-05
52,1.7106851643977266,1e-05
53,1.7042477777041118,1e-05
54,1.6999933336433661,1e-05
55,1.6928878268220717,1e-05
56,1.6881372582295153,1e-05
57,1.68541355379973,1e-05
58,1.6826479291466954,1e-05
59,1.6751937055716037,1e-05
60,1.6782170363376825,1e-05
61,1.6632520912795077,1e-05
62,1.6645805043667534,1e-05
63,1.667094000250041,1e-05
64,1.6639665417328087,1e-05
65,1.6526867111176553,1e-05
66,1.6496742639913604,1e-05
67,1.6383542139095673,1e-05
68,1.6390477367592242,1e-05
